car,car,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,pros,pros,pros,cons,cons,cons
brand,price,consumer,consumer,consumer,consumer,value,value,value,value,performance,performance,performance,performance,quality,quality,quality,quality,comfort,comfort,comfort,comfort,reliability,reliability,reliability,reliability,styling,styling,styling,styling,comments,comments,comments,comments,comments,comments
model,amount,carmax.com,kbb.com,cars.com,average,carmax.com,kbb.com,cars.com,average,carmax.com,kbb.com,cars.com,average,carmax.com,kbb.com,cars.com,average,carmax.com,kbb.com,cars.com,average,carmax.com,kbb.com,cars.com,average,carmax.com,kbb.com,cars.com,average,carmax.com,kbb.com,cars.com,carmax.com,kbb.com,cars.com
2020 Toyota Camry ,"$25,420 ",4.9,3.8,4.8,4.5,,3.8,4.8,4.3,,3.9,4.7,4.3,,3.8,4.7,4.25,,3.9,4.7,4.3,,3.9,4.8,4.35,,4.2,4.7,4.45,"Power, Value, Seat Comfort","Toyota Safety Sense P standard on all trims; Optional all-wheel drive; V6, I4, or hybrid engine choices; Outstanding reliability and resale; Wide range of models for every taste; ",Interior material quality; Ride and handling; Roomy backseat; Multimedia system layout; Standard safety features; Hybrid efficiency; ,"Cost to Maintain, Technology and Entertainment, Cabin Noise",Smaller-than-average trunk; Sport models don’t offer a manual transmission option; Plug-in hybrid missing from the lineup; Bold styling might be too sporty for some; ,Base four-cylinder can feel sluggish; XLE grille styling; 
2020 Honda Civic ,"$20,955.00 ",5,4.8,4.9,4.9,,4.8,4.9,4.85,,4.8,4.9,4.85,,4.8,4.8,4.8,,4.8,4.8,4.8,,4.8,4.9,4.85,,4.8,4.8,4.8,"Ride and Handling, Fuel Economy, Reliability",Lots of room for passengers and cargo; Excellent resale values; High marks for reliability; Three body styles; Varied trim and engine choices; ,"Turbo engine performance, especially in Type R; Handling; Lots of useful storage spaces; Gas mileage; Materials quality; Cargo room (hatchback) ; ","Styling, Cabin Noise",Performance trims can cost a pretty penny; Lacking an all-wheel-drive option; Some may find the styling a bit frenetic; ,Base engine drone while accelerating; Middle rear-seat comfort; Muted exhaust sound (Type R); Type R only seats four; Touchscreen multimedia system's menus; No tuning knob ; 
2020 Toyota Corolla ,"$20,430.00 ",4.8,4.1,4.7,4.533333333,,4.1,4.8,4.45,,4,4.7,4.35,,4.1,4.7,4.4,,4,4.7,4.35,,4.3,4.8,4.55,,4.1,4.7,4.4,"Fuel Economy, Reliability, Technology and Entertainment","Choice of three powerplants, including a 53-mpg hybrid; Robust suite of standard safety features; Apple CarPlay & Amazon Alexa standard; Enjoyable & comfortable driving manners; Stylish design inside & out; ",Sophisticated safety and driver assistance tech standard ; Improved handling; Sportier powertrain offered ; Very good fuel economy; Improved interior design and materials ; More upscale features offered ; Comfortable ride; ,"Cost to Maintain, Styling, Visibility",No Android Auto connectivity; Not as athletic & fun to drive as some rivals; Less rear-seat room than others in this class; Leisurely acceleration from 1.8-liter base engine; ,"Both engines noisy on acceleration  ; Base powertrain sluggish, less efficient; Better engine only on SE and XSE; No Android Auto; Less engaging than sportier rivals; Stingy cabin storage provisions; "
2020 Honda Accord ,"$24,800.00 ",4.5,4.4,4.8,4.566666667,,4.4,4.9,4.65,,4.6,4.8,4.7,,4.4,4.8,4.6,,4.3,4.8,4.55,,4.5,4.9,4.7,,4.6,4.8,4.7,"Styling, Reliability, Ride and Handling","Roomy, comfortable sedan with a smooth ride; Excellent reliability & resale data; Standard driver assists; Winner of the 2019 KBB Best Buy Award for midsize car; Still available with a manual transmission; ",Well-equipped base trim; Engine refinement; Acceleration with 2.0-liter turbo; Steering feel; Multimedia system usability; Hybrid's blend of performance and efficiency; ,"Dashboard, Power, Braking",Interior could do with more sound insulation; No all-wheel-drive option; Optional adaptive damper system can stiffen the ride; ,Inconsistent cabin quality; Push-button gear selector usability (certain trims); Busy ride with 19-inch wheels; No height-adjustable passenger seat; Low seating position in back; 
2020 Nissan Altima ,"$24,800.00 ",4.9,4,4.7,4.533333333,,4.1,4.8,4.45,,3.9,4.6,4.25,,4,4.7,4.35,,4.3,4.8,4.55,,4.2,4.8,4.5,,4.4,4.6,4.5,"Fuel Economy, Ride and Handling, Interior Space",Efficient standard engine; Available all-wheel-drive system; Comfortable front & rear seats; Standard rear-seat reminder system; Lots of infotainment features; Plenty of available safety technologies; ,CVT operation; Intuitive multimedia system; Well-equipped base model; Safety and self-driving tech; Quiet cabin; Fuel efficiency; ,"Power, Interior Space, Technology and Entertainment","VC-Turbo engine more hype than substance; Without big rebates, unclear value proposition; No front-passenger’s seat-height adjuster; Average trunk space; We miss the old V6; ",Choppy ride with 19-inch wheels; Numb steering ; Seat cushions too small; Some inconsistent cabin materials; Turbo engine needs premium gas for full power; 
2020 Ford Fusion ,"$23,170.00 ",4,4.4,4.8,4.4,,4.4,4.9,4.65,,4.5,4.7,4.6,,4.5,4.8,4.65,,4.5,4.8,4.65,,4.5,4.8,4.65,,4.6,4.8,4.7,"Technology and Entertainment, Ride and Handling, Fuel Economy",A refined & attractive sedan; European handling manners; Good standard safety suite; Available as a fuel-efficient Plug-In Hybrid; Still available with all-wheel drive; ,Handsome exterior; Ride and handling balance; Sync 3 multimedia system; Roomy trunk; ,"Power, Cost to Maintain, Technology and Entertainment",Paddle shifters removed from 1.5 SE and 1.5 SEL; All-wheel-drive Sport has been discontinued; ,Cramped backseat ; Thick roof pillars limit forward views; Fun-to-drive Sport version discontinued; 
2020 Hyundai Elantra ,"$18,950.00 ",5,4.2,4.8,4.666666667,,4.3,4.8,4.55,,4,4.7,4.35,,4.1,4.7,4.4,,4.1,4.8,4.45,,4.3,4.8,4.55,,4.3,4.7,4.5,"Fuel Economy, Ride and Handling, Value","You want everything. Well, practically everything a mainstream compact sedan can offer, but would rather not clean out the bank account. The 2020 Elantra has efficient engines, plenty of technology, refinement and an arguably pleasing design all at relatively reasonable prices.; ","Fuel economy in Eco model; Handling; Apple CarPlay, Android Auto connectivity; Wireless charging available; ",Technology and Entertainment,"That requirement of “everything” involves all-wheel drive. At this level, the choices are few. The Subaru Impreza has it as standard, while the Mazda3 and Volkswagen Golf SportWagen have it on their options lists.; ",Backseat headroom; Road noise; Bland interior; 
2020 Chevrolet Malibu ,"$23,000.00 ",4.5,4,4.8,4.433333333,,4.1,4.9,4.5,,4,4.8,4.4,,3.9,4.8,4.35,,4.2,4.8,4.5,,4,4.9,4.45,,4.5,4.7,4.6,"Ride and Handling, Fuel Economy, Power",Sleek styling; Roomy interior; Nicely equipped base model; ,Rear legroom; Multimedia system; Ride and handling; Refined lane departure prevention; ,"Power, Styling, Weather Versatility",No all-wheel-drive option; Resale value; Advanced driver-assist systems are not standard; ,No interior trunk release button; Cabin materials and design (lower trims); Road noise ; 2.0-liter engine prefers premium gas; 
